State abbreviation,State,Population estimate,
CA, California,39250017,
TX, Texas,27862596,
FL, Florida,20612439,
NY, New York,19745289,
PA, Pennsylvania,12802503,
IL, Illinois,12801539,
OH, Ohio,11614373,
GA, Georgia,10310371,
NC, North Carolina,10146788,
MI, Michigan,9928301,
NJ, New Jersey,8944469,
VA, Virginia,8411808,
WA, Washington,7288000,
AZ, Arizona,6931071,
MA, Massachusetts,6811779,
TN, Tennessee,6651194,
IN, Indiana,6633053,
MO, Missouri,6093000,
MD, Maryland,6016447,
WI, Wisconsin,5778708,
CO, Colorado,5540545,
MN, Minnesota,5519952,
SC, South Carolina,4961119,
AL, Alabama,4863300,
LA, Louisiana,4681666,
KY, Kentucky,4436974,
OR, Oregon,4093465,
OK, Oklahoma,3923561,
CT, Connecticut,3576452,
IA, Iowa,3134693,
UT, Utah,3051217,
MP, Mississippi,2988726,
AR, Arkansas,2988248,
NV, Nevada,2940058,
KS, Kansas,2907289,
NM, New Mexico,2081015,
NE, Nebraska,1907116,
WV, West Virginia,1831102,
ID, Idaho,1683140,
HI, Hawaii,1428557,
NH, New Hampshire,1334795,
ME, Maine,1331479,
RI, Rhode Island,1056426,
MT, Montana,1042520,
DE, Delaware,952065,
SD, South Dakota,865454,
ND,  North Dakota,757952,
AK, Alaska,741894,
VT, Vermont,624594,
WY, Wyoming,585501,
PR, Puerto Rico,3195153,
